820007a0 D_820007a0
82001580 D_82001580
8200183c D_8200183c
8200c050 D_8200c050
820c5060 func_820c5060
820c5110 func_820c5110
820c5a70 func_820c5a70
8210fb68 time_getDelta
8212a060 func_8212a060
8212cc48 actor_draw
8212cfe8 actor_drawFullDepth
821839a8 __chJinjo_increase_pitch
821843e8 __chJinjo_clamp_rotation
821844D8 chJinjo_update
8219ddc0 func_8219ddc0
821a4cc8 chFloorCobweb_update
821a4dd8 chWallCobweb_update
821a4e78 lair_func_821a4e78
821a4fc0 func_821a4fc0
821a50d8 func_821a50d8
821a50e8 func_821a50e8
821a5558 func_821a5558
821a5830 func_821a5830
821a5bc0 lair_func_821a5bc0
821a5c38 func_821a5c38
821a5d48 func_821a5d48
821a6270 func_821a6270
821a6550 func_821a6550
821a66d0 func_821a66d0
821a6708 func_821a6708
821a68e8 func_821a68e8
821a7250 func_821a7250
821a7448 lair_func_821a7448
821a75d0 func_821a75d0
821a76a8 lair_func_821a76a8
821a7868 func_821a7868
821a7870 func_821a7870
821a7878 func_821a7878
821a7880 func_821a7880
821a7890 func_821a7890
821a78a0 func_821a78a0
821a78b0 func_821a78b0
821a7928 func_821a7928
821a7998 func_821a7998
821a7a28 func_821a7a28
821a7d70 func_821a7d70
821a7e60 func_821a7e60
821a8008 func_821a8008
821a8010 func_821a8010
821a8018 func_821a8018
821a8030 func_821a8030
821a8038 lair_func_821a8038
821a8040 func_821a8040
821c9fc8 func_821c9fc8
821cc450 func_821cc450
8242fb58 main
82450ebc D_82450ebc
82450ec0 D_82450ec0
824516c8 D_824516c8
824516cc D_824516cc
824516d0 D_824516d0
824516d4 D_824516d4
824516d8 D_824516d8
824516dc D_824516dc
824516e0 D_824516e0
824516e4 D_824516e4
824516e8 D_824516e8
824516ec D_824516ec
824516f0 D_824516f0
824516f4 D_824516f4
82469A18 chJinjoAnimations
8246c910 D_8246c910
